draw,Phenotype,logic,dose
85,Rapid,C24_match,1800
85,Rapid,C24_ceiling,1800
86,Slow,AUC_match,850
86,Slow,C24_match,200
86,Slow,C24_ceiling,750
86,Intermediate,AUC_match,1300
86,Intermediate,C24_match,900
86,Intermediate,C24_ceiling,1800
86,Rapid,AUC_match,1800
86,Rapid,C24_match,1800
86,Rapid,C24_ceiling,1800
87,Slow,AUC_match,550
87,Slow,C24_match,200
87,Slow,C24_ceiling,200
87,Intermediate,AUC_match,1150
87,Intermediate,C24_match,1800
87,Intermediate,C24_ceiling,1800
87,Rapid,AUC_match,1500
87,Rapid,C24_match,1800
87,Rapid,C24_ceiling,1800
88,Slow,AUC_match,800
88,Slow,C24_match,350
88,Slow,C24_ceiling,1050
88,Intermediate,AUC_match,1250
88,Intermediate,C24_match,1800
88,Intermediate,C24_ceiling,1800
88,Rapid,AUC_match,1600
88,Rapid,C24_match,1800
88,Rapid,C24_ceiling,1800
89,Slow,AUC_match,750
89,Slow,C24_match,200
89,Slow,C24_ceiling,450
89,Intermediate,AUC_match,1300
89,Intermediate,C24_match,800
89,Intermediate,C24_ceiling,1800
89,Rapid,AUC_match,1800
89,Rapid,C24_match,1800
89,Rapid,C24_ceiling,1800
90,Slow,AUC_match,600
90,Slow,C24_match,200
90,Slow,C24_ceiling,250
90,Intermediate,AUC_match,1350
90,Intermediate,C24_match,900
90,Intermediate,C24_ceiling,1800
90,Rapid,AUC_match,1550
90,Rapid,C24_match,1300
90,Rapid,C24_ceiling,1800
91,Slow,AUC_match,600
91,Slow,C24_match,200
91,Slow,C24_ceiling,250
91,Intermediate,AUC_match,1300
91,Intermediate,C24_match,900
91,Intermediate,C24_ceiling,1800
91,Rapid,AUC_match,1200
91,Rapid,C24_match,700
91,Rapid,C24_ceiling,1800
92,Slow,AUC_match,800
92,Slow,C24_match,200
92,Slow,C24_ceiling,600
92,Intermediate,AUC_match,1400
92,Intermediate,C24_match,1150
92,Intermediate,C24_ceiling,1800
92,Rapid,AUC_match,1800
92,Rapid,C24_match,1800
92,Rapid,C24_ceiling,1800
93,Slow,AUC_match,700
93,Slow,C24_match,200
93,Slow,C24_ceiling,400
93,Intermediate,AUC_match,1300
93,Intermediate,C24_match,1300
93,Intermediate,C24_ceiling,1800
93,Rapid,AUC_match,1350
93,Rapid,C24_match,1400
93,Rapid,C24_ceiling,1800
94,Slow,AUC_match,650
94,Slow,C24_match,200
94,Slow,C24_ceiling,400
94,Intermediate,AUC_match,1150
94,Intermediate,C24_match,750
94,Intermediate,C24_ceiling,1800
94,Rapid,AUC_match,1000
94,Rapid,C24_match,400
94,Rapid,C24_ceiling,1550
95,Slow,AUC_match,600
95,Slow,C24_match,200
95,Slow,C24_ceiling,300
95,Intermediate,AUC_match,1250
95,Intermediate,C24_match,1800
95,Intermediate,C24_ceiling,1800
95,Rapid,AUC_match,900
95,Rapid,C24_match,450
95,Rapid,C24_ceiling,1300
96,Slow,AUC_match,750
96,Slow,C24_match,250
96,Slow,C24_ceiling,750
96,Intermediate,AUC_match,1050
96,Intermediate,C24_match,1800
96,Intermediate,C24_ceiling,1800
96,Rapid,AUC_match,1800
96,Rapid,C24_match,1800
96,Rapid,C24_ceiling,1800
